update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,2794.6415973369044,0,0.0,0.0,0,0,0.0,0.0,0,0,1.917588323354721,-0.09889107383787632,-0.015019933343864977,0.0014998549886513501,0.04013176428565577,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,2982.015632962806,1,0.05542500037699938,0.13256258644888805,0.0,0.5067999958992004,239.8125,27.90210285534049,137.0,250.0,1.932863935828209,-0.06619157595559955,-0.03075950243510306,0.0015919665675028227,0.021037323507081207,0.05542500037699938,0.13256258644888805,0.0,0.5067999958992004
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,3147.926014746625,2,0.044400000013411045,0.09717653956476256,0.0,0.3303999900817871,242.875,17.014240359181482,186.0,250.0,1.9307619780302048,-0.05578477028757334,-0.014277130365371704,0.0005211496991250897,0.011497028296707413,0.044400000013411045,0.09717653956476256,0.0,0.3303999900817871
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,3105.8302887648715,2,0.020649999380111694,0.07997710369836608,0.0,0.3303999900817871,246.0,15.491933384829668,186.0,250.0,1.9388407468795776,-0.04554979130625725,-0.016253425274044275,0.00017622808081796393,0.005670824577175188,0.020649999380111694,0.07997710369836608,0.0,0.3303999900817871
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,3221.64911885913,3,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.9432198405265808,-0.04140748456120491,-0.007746708928607404,3.445200559326622e-05,0.0036420104581539768,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,3186.982539729064,4,0.026499999687075615,0.10263405746254561,0.0,0.42399999499320984,244.375,21.78553132241672,160.0,250.0,1.9434913843870163,-0.02794238249771297,-0.012823701137676835,0.000558095298401895,0.008580567539404184,0.026499999687075615,0.10263405746254561,0.0,0.42399999499320984
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,3159.7672098270614,4,0.026499999687075615,0.10263405746254561,0.0,0.42399999499320984,244.375,21.78553132241672,160.0,250.0,1.9434976279735565,-0.021936320466920733,-0.004132656817091629,3.6695240623885184e-05,0.0036714218306875867,0.026499999687075615,0.10263405746254561,0.0,0.42399999499320984
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,3166.7051019362393,5,0.04417499992996454,0.09707666830664605,0.0,0.3124000132083893,242.9375,17.05311096984946,191.0,250.0,1.9413254708051682,-0.011220819724258035,-0.011035049334168434,0.0003515046973916469,0.00792849679759369,0.04417499992996454,0.09707666830664605,0.0,0.3124000132083893
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,3129.211021901001,5,0.04417499992996454,0.09707666830664605,0.0,0.3124000132083893,242.9375,17.05311096984946,191.0,250.0,1.944358080625534,-0.006795549299567938,-0.0040239433001261204,8.816226772978553e-05,0.004503370344000822,0.04417499992996454,0.09707666830664605,0.0,0.3124000132083893
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,3013.3692854296346,6,0.02019999921321869,0.0782342605461989,0.0,0.323199987411499,246.125,15.00781046655374,188.0,250.0,1.9426913410425186,-0.0008230400198954158,-0.0025299182889284566,0.0002492249122951762,0.006441585652336287,0.02019999921321869,0.0782342605461989,0.0,0.323199987411499
11,22528,3153.28209682008,7,0.061775000765919685,0.16615565108008237,0.0,0.5788000226020813,236.3125,37.154607301786946,117.0,250.0,1.935781106352806,0.009154524181212764,-0.009024857077747583,0.0014167320259730332,0.02723947240740729,0.061775000765919685,0.16615565108008237,0.0,0.5788000226020813
12,24576,2931.0570523168662,8,0.08777500037103891,0.17071022301481328,0.0,0.5788000226020813,232.5625,37.11295048564584,117.0,250.0,1.941277801990509,0.0047221443528542295,-0.003318229239084758,0.00028754146842402406,0.010357103178875903,0.08777500037103891,0.17071022301481328,0.0,0.5788000226020813
